# Pank,Pftd,Par,GRF
-4.285063551316480946e-04,2.198981200831679432e-18,-4.285063551316458720e-04,-1.163087788061041166e-16
-5.429772831807052735e-04,1.630603528787713274e-18,-5.429772831807036472e-04,-8.512312577597021062e-17
-7.620235839629502803e-04,1.116289715079234867e-18,-7.620235839629491961e-04,-5.643730124529468265e-17
-1.074849622588083418e-03,6.847359974391806568e-19,-1.074849622588082768e-03,-3.298109100241715982e-17
-1.467843443171794977e-03,3.442361014628496656e-19,-1.467843443171794543e-03,-1.558814893783990870e-17
-1.902600831372967382e-03,9.150298133501162194e-20,-1.902600831372967382e-03,-3.853479611743462576e-18
-2.312290841954848554e-03,-8.148240389850224289e-20,-2.312290841954848554e-03,3.138091461550517146e-18
-2.630821029746832369e-03,-1.880531694184749595e-19,-2.630821029746832369e-03,6.596912375283150076e-18
-2.831767431203524935e-03,-2.401223236706935598e-19,-2.831767431203525368e-03,7.625092846563270531e-18
-2.936183287452676007e-03,-2.492086686986894767e-19,-2.936183287452676441e-03,7.153518645746001872e-18
-2.992880632616112986e-03,-2.295762874772084648e-19,-2.992880632616113420e-03,5.963860388834323211e-18
-3.058279576096073309e-03,-1.894690205751577346e-19,-3.058279576096073309e-03,4.463690477147960289e-18
-3.200436401631501573e-03,-1.434731303058356898e-19,-3.200436401631501573e-03,3.073365796677158142e-18
-3.508811345049199851e-03,-9.557986285506666636e-20,-3.508811345049199851e-03,1.868342129864915557e-18
-4.035372575208763177e-03,-5.274977515405604754e-20,-4.035372575208763177e-03,9.449926166077351504e-19
-4.707636628859458716e-03,-2.116244405964130612e-20,-4.707636628859458716e-03,3.487302848272382347e-19
-5.370429444308399448e-03,6.666300825540105833e-21,-5.370429444308399448e-03,-1.020437222142308601e-19
-5.937725517862042779e-03,1.743235715100391801e-20,-5.937725517862042779e-03,-2.464643218741554609e-19
-6.452172238475064291e-03,2.879308264703282329e-20,-6.452172238475064291e-03,-3.758326669851048135e-19
-6.991739334495486284e-03,2.934322957760051190e-20,-6.991739334495486284e-03,-3.540361800620623663e-19
-7.568772202908280976e-03,2.430544336394730515e-20,-7.568772202908280976e-03,-2.707790571223637131e-19
-8.112841422389865248e-03,2.831430943705541282e-20,-8.112841422389865248e-03,-2.909646378935111288e-19
-8.488907558865544517e-03,9.732463697024031428e-21,-8.488907558865544517e-03,-9.230342502797411860e-20
-8.555791725508665388e-03,1.967110696467607267e-20,-8.555791725508665388e-03,-1.714294852217477499e-19
-8.281745419290491295e-03,2.445369419943505047e-21,-8.281745419290491295e-03,-1.958014307465889244e-20
-7.767768687956636518e-03,1.188562800405381879e-21,-7.767768687956636518e-03,-8.753745526362825505e-21
-7.117514307914315705e-03,1.163451418158918113e-20,-7.117514307914315705e-03,-7.831984802405925563e-20
-6.363849410636486167e-03,-2.327551869842206560e-20,-6.363849410636486167e-03,1.436980579797443293e-19
-5.615298573983715062e-03,2.534692757596115045e-20,-5.615298573983715062e-03,-1.437893675418404734e-19
-5.263954103303480729e-03,-3.029475355721389472e-20,-5.263954103303480729e-03,1.581039183561567381e-19
-5.998555787292875023e-03,1.090171964067156832e-20,-5.998555787292875023e-03,-5.276554162400729217e-20
-8.632969628097833178e-03,8.762037332968998910e-21,-8.632969628097833178e-03,-3.891438857541270993e-20
-1.385235507962966767e-02,-4.734382793754148548e-20,-1.385235507962966767e-02,1.978491383605122091e-19
