# InvDyn,Takahashi,Zelik,Frigo,GRF
-2.686078098373758955e-03,1.162995162440334504e-16,1.162995162440334504e-16,1.162995162440334504e-16,-2.396979412043849720e-15
-2.577937360014841920e-03,8.343630831084900290e-17,8.343630831084900290e-17,8.343630831084900290e-17,-1.699181684375874181e-15
-2.428552372017612083e-03,5.463048068937591811e-17,5.463048068937591811e-17,5.463048068937593043e-17,-1.085016784854359528e-15
-2.334496973454374541e-03,3.126520846008767681e-17,3.126520846008767681e-17,3.126520846008768297e-17,-5.993955250810298737e-16
-2.421230772863736461e-03,1.362006512647679068e-17,1.362006512647679068e-17,1.362006512647678760e-17,-2.503476297913085714e-16
-2.763353886063104475e-03,1.340318362112382078e-18,1.340318362112382078e-18,1.340318362112382078e-18,-2.352475111320967565e-17
-3.344361114611850948e-03,-6.270567645164487469e-18,-6.270567645164487469e-18,-6.270567645164485928e-18,1.051189173471065715e-16
-4.068566068295968730e-03,-1.012508549355553055e-17,-1.012508549355553055e-17,-1.012508549355552901e-17,1.620830791428712944e-16
-4.805133744040571836e-03,-1.123757583601504511e-17,-1.123757583601504511e-17,-1.123757583601504511e-17,1.720321104461262054e-16
-5.467118377279957253e-03,-1.051496852976416479e-17,-1.051496852976416479e-17,-1.051496852976416787e-17,1.541688144646277038e-16
-6.086903236850085830e-03,-8.808671810182572374e-18,-8.808671810182572374e-18,-8.808671810182572374e-18,1.238465110343732708e-16
-6.796843019343128123e-03,-6.688674947027664696e-18,-6.688674947027664696e-18,-6.688674947027664696e-18,9.026852086833665030e-17
-7.717867223652039380e-03,-4.593190537207138783e-18,-4.593190537207138783e-18,-4.593190537207138013e-18,5.955912444780907377e-17
-8.860852079881499643e-03,-2.791705012580263189e-18,-2.791705012580263189e-18,-2.791705012580263189e-18,3.481285465153099602e-17
-1.009437972434124031e-02,-1.331771301517173368e-18,-1.331771301517173368e-18,-1.331771301517172790e-18,1.598301780872543179e-17
-1.115840980977710062e-02,-3.472725444022497854e-19,-3.472725444022497854e-19,-3.472725444022497854e-19,4.012913808289925557e-18
-1.176164608505912874e-02,3.333118208075076761e-19,3.333118208075076761e-19,3.333118208075076279e-19,-3.710337411453590861e-18
-1.180608696412898534e-02,6.671107238595020743e-19,6.671107238595020743e-19,6.671107238595017854e-19,-7.158261904445702199e-18
-1.152096023468461398e-02,7.738346847320858307e-19,7.738346847320858307e-19,7.738346847320856381e-19,-8.012500578072007707e-18
-1.128370984071250423e-02,8.013121201104815835e-19,8.013121201104815835e-19,8.013121201104815835e-19,-8.017765927768652488e-18
-1.137310856170500699e-02,6.061785994949456022e-19,6.061785994949456022e-19,6.061785994949456022e-19,-5.868180495679825196e-18
-1.195855314633322876e-02,5.558288856832765195e-19,5.558288856832765195e-19,5.558288856832764232e-19,-5.209477398143860818e-18
-1.321315835144851875e-02,3.259982010524159066e-19,3.259982010524159066e-19,3.259982010524159066e-19,-2.960653046485076172e-18
-1.537215804850544133e-02,2.186854810223821014e-19,2.186854810223821014e-19,2.186854810223821496e-19,-1.923106621186331532e-18
-1.872583820498789978e-02,1.700619379991823220e-19,1.700619379991823220e-19,1.700619379991823220e-19,-1.452775197121322929e-18
-2.345391445066074762e-02,-6.071548692122989073e-20,-6.071548692122989073e-20,-6.071548692122989073e-20,5.043215804703828213e-19
-2.918815139950371035e-02,1.188181397652169161e-19,1.188181397652169161e-19,1.188181397652169642e-19,-9.591357407167654100e-19
-3.470062367928755664e-02,-1.608089669746080313e-19,-1.608089669746080313e-19,-1.608089669746080553e-19,1.267615175735993403e-18
-3.861426219551946509e-02,1.890868712021558901e-20,1.890868712021558901e-20,1.890868712021558901e-20,-1.441809412730964658e-19
-4.085238960753606596e-02,-2.020958124234363488e-20,-2.020958124234363488e-20,-2.020958124234363488e-20,1.531772993272744322e-19
-4.260149948395752784e-02,-1.874153741689100386e-19,-1.874153741689100386e-19,-1.874153741689100386e-19,1.450600590817332410e-18
-4.423032439242423342e-02,2.125393304117704818e-19,2.125393304117704818e-19,2.125393304117704818e-19,-1.678913576496754037e-18
-4.434088197837685041e-02,-3.026616991983683613e-19,-3.026616991983683613e-19,-3.026616991983683132e-19,2.485950251028365436e-18
-4.147784641146818468e-02,2.197517771013493212e-19,2.197517771013493212e-19,2.197517771013493212e-19,-1.913122043413828531e-18
-3.552784183744056579e-02,-1.076726980282888356e-19,-1.076726980282888356e-19,-1.076726980282888597e-19,1.012901910314440283e-18
-2.720999358708131241e-02,-7.713062292541049121e-20,-7.713062292541049121e-20,-7.713062292541050324e-20,7.961372598292922560e-19
