# Pank,Pftd,Par,GRF
-2.686078098373852197e-03,9.320893703969727943e-17,-2.686078098373758955e-03,-2.396979412043849720e-15
-2.577937360014909574e-03,6.744750846341212970e-17,-2.577937360014841920e-03,-1.699181684375874181e-15
-2.428552372017657186e-03,4.469772223431697927e-17,-2.428552372017612083e-03,-1.085016784854359528e-15
-2.334496973454400128e-03,2.589245574698742452e-17,-2.334496973454374541e-03,-5.993955250810298737e-16
-2.421230772863748170e-03,1.142817978061161882e-17,-2.421230772863736461e-03,-2.503476297913085714e-16
-2.763353886063105343e-03,1.143881216418184756e-18,-2.763353886063104475e-03,-2.352475111320967565e-17
-3.344361114611845310e-03,-5.488732393968375502e-18,-3.344361114611850948e-03,1.051189173471065715e-16
-4.068566068295959189e-03,-9.137566984994806073e-18,-4.068566068295968730e-03,1.620830791428712944e-16
-4.805133744040561428e-03,-1.050207903279348555e-17,-4.805133744040571836e-03,1.720321104461262054e-16
-5.467118377279946845e-03,-1.019358370352228074e-17,-5.467118377279957253e-03,1.541688144646277038e-16
-6.086903236850077156e-03,-8.848964753168434725e-18,-6.086903236850085830e-03,1.238465110343732708e-16
-6.796843019343121184e-03,-6.946565243005403098e-18,-6.796843019343128123e-03,9.026852086833665030e-17
-7.717867223652035043e-03,-4.926764498711780363e-18,-7.717867223652039380e-03,5.955912444780907377e-17
-8.860852079881497909e-03,-3.098917792439263330e-18,-8.860852079881499643e-03,3.481285465153099602e-17
-1.009437972434123858e-02,-1.537126098813156398e-18,-1.009437972434124031e-02,1.598301780872543179e-17
-1.115840980977710062e-02,-4.193419478048172955e-19,-1.115840980977710062e-02,4.012913808289925557e-18
-1.176164608505912874e-02,4.242791714762077124e-19,-1.176164608505912874e-02,-3.710337411453590861e-18
-1.180608696412898707e-02,9.001200641714012186e-19,-1.180608696412898534e-02,-7.158261904445702199e-18
-1.152096023468461572e-02,1.111699696122603183e-18,-1.152096023468461398e-02,-8.012500578072007707e-18
-1.128370984071250596e-02,1.229207365929944859e-18,-1.128370984071250423e-02,-8.017765927768652488e-18
-1.137310856170500872e-02,9.935538161811182732e-19,-1.137310856170500699e-02,-5.868180495679825196e-18
-1.195855314633323049e-02,9.716703593756158165e-19,-1.195855314633322876e-02,-5.209477398143860818e-18
-1.321315835144851875e-02,6.054816316539769181e-19,-1.321315835144851875e-02,-2.960653046485076172e-18
-1.537215804850544133e-02,4.277617337962668363e-19,-1.537215804850544133e-02,-1.923106621186331532e-18
-1.872583820498789978e-02,3.477317992397669410e-19,-1.872583820498789978e-02,-1.452775197121322929e-18
-2.345391445066074762e-02,-1.280338580075194885e-19,-2.345391445066074762e-02,5.043215804703828213e-19
-2.918815139950371035e-02,2.537498996520097547e-19,-2.918815139950371035e-02,-9.591357407167654100e-19
-3.470062367928755664e-02,-3.428662748358844207e-19,-3.470062367928755664e-02,1.267615175735993403e-18
-3.861426219551946509e-02,3.889254741905672713e-20,-3.861426219551946509e-02,-1.441809412730964658e-19
-4.085238960753606596e-02,-4.059444679384673234e-20,-4.085238960753606596e-02,1.531772993272744322e-19
-4.260149948395752784e-02,-3.750550942995983404e-19,-4.260149948395752784e-02,1.450600590817332410e-18
-4.423032439242423342e-02,4.142994750979100210e-19,-4.423032439242423342e-02,-1.678913576496754037e-18
-4.434088197837685041e-02,-5.775069090046178845e-19,-4.434088197837685041e-02,2.485950251028365436e-18
-4.147784641146818468e-02,4.117031091773884575e-19,-4.147784641146818468e-02,-1.913122043413828531e-18
-3.552784183744056579e-02,-1.976659035013943946e-19,-3.552784183744056579e-02,1.012901910314440283e-18
-2.720999358708131241e-02,-1.384251698227480072e-19,-2.720999358708131241e-02,7.961372598292922560e-19
-1.747263410357825439e-02,4.097112603400545205e-19,-1.747263410357825439e-02,-2.764269683472312784e-18
-7.617885864413862125e-03,-5.343015371078955124e-19,-7.617885864413862125e-03,4.412636511592359359e-18
7.964529877279090224e-04,4.750924737438122647e-19,7.964529877279094561e-04,-5.098571363594297630e-18
6.587492570865102065e-03,-2.751135813751991577e-19,6.587492570865102065e-03,4.181746099460583394e-18
9.402340911951601390e-03,6.525584051073171009e-20,9.402340911951601390e-03,-1.626240429931734402e-18
9.621002293603490504e-03,3.928741147738518938e-20,9.621002293603490504e-03,-2.341436298469073237e-18
8.047638145758704772e-03,2.456302146168797669e-20,8.047638145758704772e-03,6.673694971662618206e-18
5.689357488242400424e-03,-2.184600028168354882e-19,5.689357488242400424e-03,-1.009670517486324260e-17
3.561537312181944394e-03,4.162459196383543778e-19,3.561537312181944828e-03,1.109004387640101030e-17
2.488081162544876490e-03,-4.467998081367057535e-19,2.488081162544876490e-03,-8.609379258841557188e-18
2.958817606310203737e-03,1.568142287804873074e-19,2.958817606310203737e-03,2.409816319537313260e-18
5.037881940871261240e-03,5.115006262585746273e-19,5.037881940871261240e-03,6.521519439012022533e-18
8.360392563248039699e-03,-1.453566460510719608e-18,8.360392563248039699e-03,-1.596954852754048375e-17
1.226745859076295783e-02,2.364133149508348522e-18,1.226745859076295957e-02,2.286345914090183754e-17
1.603472301199606112e-02,-2.772179260309552189e-18,1.603472301199605765e-02,-2.405034792125559656e-17
1.911369504018554585e-02,2.192499348811881582e-18,1.911369504018554932e-02,1.737345596787619182e-17
2.125585754253224088e-02,-3.639812516438791933e-19,2.125585754253224088e-02,-2.690547005764172570e-18
2.244020249353260305e-02,-2.515798884565773656e-18,2.244020249353259958e-02,-1.743264858765167196e-17
2.279832246864131259e-02,5.704054392814959910e-18,2.279832246864131953e-02,3.778670069892526096e-17
2.265398083247789282e-02,-8.044304516679767174e-18,2.265398083247788241e-02,-5.147290547204223277e-17
2.244662441825966831e-02,8.303106278737545433e-18,2.244662441825967872e-02,5.175445685289314839e-17
2.247402417424539459e-02,-5.623557026107143724e-18,2.247402417424539112e-02,-3.440649990200365798e-17
2.267919456577507931e-02,-2.444882564279814516e-20,2.267919456577507931e-02,-6.126156710015820543e-20
2.261142257987060547e-02,7.574290030498656906e-18,2.261142257987061241e-02,4.512191145491468876e-17
2.173445574702701291e-02,-1.492312150357506973e-17,2.173445574702699903e-02,-8.861302123671885865e-17
2.005534118976642910e-02,1.937313194316419606e-17,2.005534118976644645e-02,1.151635281180455379e-16
1.824186303913455723e-02,-1.845250939203517168e-17,1.824186303913453988e-02,-1.104685696116946180e-16
1.684406528530999966e-02,1.095205685455490446e-17,1.684406528531001354e-02,6.651331587898596090e-17
1.582947052185752421e-02,2.286809710896973330e-18,1.582947052185752768e-02,1.374554608088211550e-17
1.497922866896529530e-02,-1.821748515816446672e-17,1.497922866896527795e-02,-1.140140919260992596e-16
1.424686338424199783e-02,3.212344359986474541e-17,1.424686338424203079e-02,2.061311552431311197e-16
1.370932469533124760e-02,-3.883038466391612108e-17,1.370932469533120771e-02,-2.560540845324696959e-16
1.342954030589116679e-02,3.439697433746801766e-17,1.342954030589120148e-02,2.337005305984183795e-16
1.342070727641944336e-02,-1.771838765905320985e-17,1.342070727641942428e-02,-1.244655766642503973e-16
1.366714558929682348e-02,-8.576051491633561511e-18,1.366714558929681481e-02,-6.101288060328537436e-17
1.412098504524431607e-02,3.828152851575232583e-17,1.412098504524435597e-02,2.827221376755034043e-16
1.468640046117293367e-02,-6.281849774648577996e-17,1.468640046117287122e-02,-4.759260380483318394e-16
1.526241329923526575e-02,7.318690542532741238e-17,1.526241329923533861e-02,5.657110193544428667e-16
1.581421614767385478e-02,-6.238295514895143463e-17,1.581421614767379233e-02,-4.894962458567522981e-16
1.636343432587938559e-02,2.797040558915246180e-17,1.636343432587941335e-02,2.222527246521925235e-16
1.690537682386635682e-02,2.567874075220591095e-17,1.690537682386638457e-02,2.033647517785872420e-16
1.735500217209863180e-02,-8.626492099966985379e-17,1.735500217209854507e-02,-6.904329164580373399e-16
1.757030072971511869e-02,1.349144233663724053e-16,1.757030072971525400e-02,1.091147085715317891e-15
1.745329718639061778e-02,-1.510992468999667007e-16,1.745329718639046859e-02,-1.241746707370517469e-15
1.707184366528261346e-02,1.203716748258641476e-16,1.707184366528273142e-02,1.013661019260636766e-15
1.667381289862590599e-02,-4.217907788061582973e-17,1.667381289862586435e-02,-3.683521433900667982e-16
1.649212551858100784e-02,-6.597919330768994189e-17,1.649212551858094192e-02,-6.017617989401845152e-16
1.642195532331430091e-02,1.716545681241643296e-16,1.642195532331447091e-02,1.664625013515755548e-15
1.599623106334232409e-02,-2.382321550003301721e-16,1.599623106334208469e-02,-2.484967109879673030e-15
1.485322277252761405e-02,2.387449949945488707e-16,1.485322277252785345e-02,2.707299128571906754e-15
1.306673876418800589e-02,-1.664462606860827381e-16,1.306673876418783936e-02,-2.071360986184409586e-15
1.092192585501764596e-02,3.845138553554531004e-17,1.092192585501768412e-02,5.305459590536018468e-16
8.582846473475052446e-03,1.081644877318337925e-16,8.582846473475159998e-03,1.666354851703585223e-15
5.977254512790081652e-03,-2.269579625979168826e-16,5.977254512789854403e-03,-3.969365579673832892e-15
2.804602903165675284e-03,2.773316995738561081e-16,2.804602903165952406e-03,5.622801351154136174e-15
-1.281522160856908739e-03,-2.409763721853101571e-16,-1.281522160857149865e-03,-5.860676009005634062e-15
-6.259192237420546125e-03,1.347138643921980979e-16,-6.259192237420410816e-03,4.165611530913915059e-15
-1.142249802487326285e-02,-1.188668141416920858e-17,-1.142249802487327499e-02,-5.226754281337034825e-16
-1.552204765393802241e-02,-5.617271916756956692e-17,-1.552204765393807966e-02,-4.421019376789712712e-15
-1.727799728189311976e-02,1.787651163350011597e-17,-1.727799728189309894e-02,9.373677672141868710e-15
-1.584415640055908056e-02,1.175639914750642621e-16,-1.584415640055896607e-02,-1.264278643055952517e-14
-1.095321499409797165e-02,-2.607483509275703592e-16,-1.095321499409823360e-02,1.259083286677122052e-14
-2.986901598650056749e-03,2.636821162981224782e-16,-2.986901598649793071e-03,-8.212882308330255029e-15
6.670450154309979368e-03,1.474122285362187563e-17,6.670450154309994113e-03,-3.244487805758836457e-16
1.534116702926104601e-02,-6.133711673093663708e-16,1.534116702926043366e-02,1.137990904875034980e-14
1.975825131581332092e-02,1.381232815120737379e-15,1.975825131581470176e-02,-2.194398937665681098e-14
1.819347992827865038e-02,-1.969249769571005452e-15,1.819347992827668320e-02,2.825003093926304326e-14
1.252270225453335807e-02,1.969220637509263951e-15,1.252270225453532872e-02,-2.682704405810827667e-14
7.039372865372122388e-03,-1.164989078369131636e-15,7.039372865370956654e-03,1.578350192256452748e-14
4.487839149493501323e-03,-2.921521998199925640e-16,4.487839149493209022e-03,4.064451233546193823e-15
4.484984817466080957e-03,1.929401382467926396e-15,4.484984817468009970e-03,-2.863236638655253755e-14
5.513097448665629612e-03,-3.146671381354445439e-15,5.513097448662482823e-03,5.096489292921419908e-14
6.863880907456873688e-03,3.446261900263342051e-15,6.863880907460319716e-03,-6.272920535559583927e-14
8.603494807685914403e-03,-2.675439904773891522e-15,8.603494807683239459e-03,5.664162744409765535e-14
1.048408979891806564e-02,1.147597934599490909e-15,1.048408979891921403e-02,-2.929421288970400466e-14
1.168976014090484725e-02,5.243627689593586546e-16,1.168976014090537113e-02,-1.650855082885816591e-14
