# InvDyn,Takahashi,Zelik,Frigo,GRF
3.750491582049609446e-02,1.238894157306913782e-02,1.238894157306913782e-02,1.238894157306914129e-02,3.845817404371725812e-01
3.971145173804303125e-02,1.289528230077207314e-02,1.289528230077207314e-02,1.289528230077207661e-02,4.185923575776954175e-01
3.884002244206526122e-02,1.346188338763368124e-02,1.346188338763368124e-02,1.346188338763368124e-02,4.645840516841779899e-01
3.660718905945347518e-02,1.352385451637377542e-02,1.352385451637377542e-02,1.352385451637377715e-02,5.061933556388751310e-01
3.287685525094324879e-02,1.226877406245401037e-02,1.226877406245401037e-02,1.226877406245401210e-02,5.120339290399330556e-01
2.637529729463234524e-02,8.831471376260559628e-03,8.831471376260559628e-03,8.831471376260557893e-03,4.347759009962129939e-01
1.589110202041927808e-02,2.562535735656636202e-03,2.562535735656636202e-03,2.562535735656637070e-03,2.117435288752109457e-01
1.383794496527193099e-03,-6.643310370601938387e-03,-6.643310370601938387e-03,-6.643310370601937520e-03,-2.314758996452598860e-01
-1.542581118687497144e-02,-1.802129706679285112e-02,-1.802129706679285112e-02,-1.802129706679284765e-02,-9.727043411663794936e-01
-3.131369701598873262e-02,-2.970560561911539388e-02,-2.970560561911539388e-02,-2.970560561911539388e-02,-2.077257449378315801e+00
-4.254919328366928849e-02,-3.873604771963309185e-02,-3.873604771963309185e-02,-3.873604771963310572e-02,-3.572899077508558729e+00
-4.591599422365767735e-02,-4.143472310150168175e-02,-4.143472310150168175e-02,-4.143472310150168869e-02,-5.413332365952428837e+00
-3.925661166914631850e-02,-3.434331307669084843e-02,-3.434331307669084843e-02,-3.434331307669084843e-02,-7.430050522144663105e+00
-2.202059811995218941e-02,-1.591953248550618399e-02,-1.591953248550618399e-02,-1.591953248550618052e-02,-9.275291958846469953e+00
3.127375741772615500e-03,1.101219641179445805e-02,1.101219641179445805e-02,1.101219641179444764e-02,-1.036200521710517641e+01
2.756130742949648715e-02,3.661252299144906325e-02,3.661252299144906325e-02,3.661252299144906325e-02,-9.812711716306923293e+00
3.471013830567728359e-02,4.270205607956473887e-02,4.270205607956473887e-02,4.270205607956473193e-02,-6.438124660005462019e+00
1.844485513511438758e-03,5.216244640209457585e-03,5.216244640209457585e-03,5.216244640209457585e-03,1.221517773485227609e+00
-9.218350866229745033e-02,-9.735859762078491464e-02,-9.735859762078491464e-02,-9.735859762078490076e-02,1.475558850407449185e+01
-2.537931587378747245e-01,-2.700053494733541948e-01,-2.700053494733541948e-01,-2.700053494733540838e-01,3.560031656130919231e+01
-4.610994986569368348e-01,-4.871295791785479334e-01,-4.871295791785479334e-01,-4.871295791785480445e-01,6.456740787314612362e+01
